,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,Narsaq,60.9167,-46.05,24.8,39,0,2.3,GL,1618703627
141,São Filipe,14.8961,-24.4956,72.7,70,0,9.24,CV,1618703628
142,Baghdad,33.3406,44.4009,69.8,30,0,6.91,IQ,1618703449
143,Kautokeino,69.0125,23.0412,21.54,99,84,3.47,NO,1618703628
144,Saskylakh,71.9167,114.0833,7.21,93,100,12.33,RU,1618703436
145,Tabuk,17.4189,121.4443,79.57,64,86,9.31,PH,1618703472
146,Griffith,41.5284,-87.4237,48.99,49,1,8.05,US,1618703629
147,Hong Kong,22.2855,114.1577,75.0,59,94,1.99,HK,1618703459
148,Jardim,-21.4803,-56.1381,75.15,68,64,3.8,BR,1618703629
149,Denpasar,-8.65,115.2167,80.6,89,20,1.14,ID,1618703630
150,Ust-Tsilma,65.441,52.1498,18.5,87,100,8.23,RU,1618703630
151,Lodja,-3.4833,23.4333,70.34,98,58,2.95,CD,1618703630
152,Saint-Philippe,-21.3585,55.7679,75.2,94,75,6.91,RE,1618703414
153,Tasiilaq,65.6145,-37.6368,23.0,93,90,2.24,GL,1618703439
154,Coffs Harbour,-30.3,153.1333,66.2,59,75,19.57,AU,1618703631
155,Adré,13.4667,22.2,74.7,10,15,10.36,TD,1618703631
156,Naberera,-4.2,36.9333,61.14,94,58,8.5,TZ,1618703632
157,Hīt,33.6416,42.8251,76.86,18,0,6.76,IQ,1618703632
158,Saint George,37.1041,-113.5841,68.0,18,40,11.5,US,1618703414
159,Pacific Grove,36.6177,-121.9166,60.01,72,20,12.66,US,1618703632
160,Bud,39.447,-86.1758,57.2,41,1,10.36,US,1618703633
161,Arraial do Cabo,-22.9661,-42.0278,77.0,83,40,18.41,BR,1618703633
162,Olavarría,-36.8927,-60.3225,68.0,72,47,1.01,AR,1618703633
163,Madimba,-10.4,40.3333,75.2,88,40,24.16,TZ,1618703634
164,Wanaka,-44.7,169.15,50.72,81,97,7.52,NZ,1618703580
165,Klaksvík,62.2266,-6.589,46.4,81,100,26.46,FO,1618703635
166,Letlhakeng,-24.0944,25.0298,58.89,62,10,6.89,BW,1618703635
167,Puerto Nariño,-3.7703,-70.3831,80.6,89,75,2.1,CO,1618703511
168,Hirara,24.8,125.2833,69.8,64,20,19.57,JP,1618703635
169,Borūjerd,33.8973,48.7516,56.91,34,76,4.54,IR,1618703636
170,Kidal,18.4411,1.4078,86.58,11,100,11.48,ML,1618703636
171,Verkhoyansk,67.5447,133.385,15.04,88,100,3.0,RU,1618703636
172,Esperance,-33.8667,121.9,55.4,82,0,10.36,AU,1618703637
173,Ahipara,-35.1667,173.1667,62.42,57,86,7.07,NZ,1618703637
174,Moscow,55.7522,37.6156,50.0,34,0,13.42,RU,1618703572
175,Manaíra,-7.7061,-38.1544,69.64,83,100,4.05,BR,1618703638
176,Port Lincoln,-34.7333,135.8667,62.4,61,20,5.57,AU,1618703479
177,Gravelbourg,49.8834,-106.5512,62.6,20,94,12.66,CA,1618703638
178,Gazojak,41.1875,61.4036,63.21,25,2,7.16,TM,1618703638
179,Kloulklubed,7.0419,134.2556,82.4,78,75,11.5,PW,1618703639
180,Leningradskiy,69.3833,178.4167,34.84,84,97,8.75,RU,1618703639
181,Taoudenni,22.6783,-3.9836,83.1,15,0,9.93,ML,1618703640
182,Marawi,7.9986,124.2928,78.01,91,100,5.99,PH,1618703640
183,Vuktyl,63.8567,57.3094,23.43,81,76,11.52,RU,1618703640
184,Bethel,41.3712,-73.414,48.0,63,96,2.95,US,1618703402
185,Killybegs,54.6333,-8.45,45.0,93,100,10.0,IE,1618703641
186,Saint-Joseph,-21.3667,55.6167,71.6,94,75,6.91,RE,1618703641
187,Olafsvik,64.8945,-23.7142,37.44,62,100,17.34,IS,1618703642
188,Mahon,39.8885,4.2658,44.6,93,40,5.75,ES,1618703425
189,Champerico,14.3,-91.9167,89.6,62,40,11.5,GT,1618703634
190,Los Llanos de Aridane,28.6585,-17.9182,68.0,73,40,14.97,ES,1618703642
191,Aykhal,66.0,111.5,1.02,95,100,18.5,RU,1618703505
192,Carnarvon,-24.8667,113.6333,77.14,55,4,3.67,AU,1618703421
193,Yerbogachën,61.2767,108.0108,8.19,79,48,11.92,RU,1618703643
194,Hasaki,35.7333,140.8333,66.2,37,20,18.41,JP,1618703643
195,Vardø,70.3705,31.1107,34.79,89,81,10.16,NO,1618703412
196,Souillac,-20.5167,57.5167,77.0,94,75,8.05,MU,1618703644
197,Vila,42.0304,-8.1588,48.0,80,20,1.99,PT,1618703644
198,Pochutla,15.7432,-96.4661,86.0,58,1,11.5,MX,1618703644
199,Alamosa,37.4695,-105.87,28.4,93,90,13.8,US,1618703645
200,Luau,-10.7073,22.2247,61.77,96,74,3.24,AO,1618703645
201,Hamilton,39.1834,-84.5333,53.01,82,90,3.44,US,1618703349
202,Kavaratti,10.5669,72.642,83.66,69,6,5.61,IN,1618703396
203,Thompson,55.7435,-97.8558,30.2,69,90,14.97,CA,1618703478
204,Tairua,-37.0167,175.85,63.0,69,25,8.01,NZ,1618703646
205,Jiamusi,46.8333,130.35,47.75,59,8,4.81,CN,1618703646
206,Havøysund,70.9963,24.6622,32.0,86,0,11.77,NO,1618703647
207,Barrow,71.2906,-156.7887,30.2,80,1,11.5,US,1618703408
208,Benalla,-36.55,145.9833,50.0,76,4,1.14,AU,1618703647
209,Valparaíso,-33.0393,-71.6273,57.2,88,90,4.61,CL,1618703572
210,Mehamn,71.0357,27.8492,34.79,80,12,11.68,NO,1618703648
211,Rocha,-34.4833,-54.3333,59.14,94,13,3.78,UY,1618703486
212,Port Hardy,50.6996,-127.4199,66.2,45,1,4.61,CA,1618703396
213,West Lafayette,40.4259,-86.9081,62.6,31,1,14.97,US,1618703445
214,Myitkyina,25.3833,97.4,67.84,86,44,1.32,MM,1618703648
215,Amahai,-3.3333,128.9167,87.01,89,70,0.29,ID,1618703649
216,Severo-Kuril'sk,50.6789,156.125,38.12,62,100,7.4,RU,1618703649
217,Kununurra,-15.7667,128.7333,78.8,34,22,10.36,AU,1618703490
218,Christchurch,-43.5333,172.6333,64.0,48,5,4.61,NZ,1618703404
219,Sola,-13.8833,167.55,82.54,74,87,14.27,VU,1618703650
220,Baykit,61.67,96.37,17.65,92,100,5.68,RU,1618703650
221,Airai,-8.9266,125.4092,67.28,65,87,3.4,TL,1618703429
222,Huntsville,34.7304,-86.5861,62.6,51,90,6.91,US,1618703415
223,Qaqortoq,60.7167,-46.0333,24.8,39,0,2.3,GL,1618703651
224,Balkanabat,39.5108,54.3671,69.42,33,3,5.86,TM,1618703651
225,Sørland,67.667,12.6934,41.61,72,57,10.76,NO,1618703541
226,Dzhebariki-Khaya,62.2167,135.8,28.11,81,100,7.38,RU,1618703652
227,Vilyuysk,63.7553,121.6247,13.82,91,100,13.18,RU,1618703652
228,Nanortalik,60.1432,-45.2371,25.2,56,1,27.67,GL,1618703652
229,Ketchikan,55.3422,-131.6461,59.0,51,1,6.91,US,1618703518
230,Constantine,36.365,6.6147,42.8,87,75,2.3,DZ,1618703490
231,Comodoro Rivadavia,-45.8667,-67.5,59.0,72,0,5.86,AR,1618703653
232,Khani,41.9563,42.9566,57.2,82,90,10.36,GE,1618703653
233,Ramnagar,29.4,79.1167,64.49,55,0,6.24,IN,1618703654
234,Vanimo,-2.6741,141.3028,78.8,82,97,4.92,PG,1618703654
235,Bilibino,68.0546,166.4372,21.09,74,27,4.47,RU,1618703654
236,Reftinskiy,57.0901,61.6769,33.8,55,0,4.47,RU,1618703655
237,Kieta,-6.2167,155.6333,85.87,66,93,2.93,PG,1618703487
238,Yatou,37.15,122.3833,52.68,41,0,6.82,CN,1618703655
239,Adolfo López Mateos,28.4667,-107.3,69.01,20,5,11.01,MX,1618703656
240,Antsohihy,-14.8796,47.9875,73.17,95,67,3.09,MG,1618703656
241,Mandalgovi,45.7625,106.2708,45.54,16,65,14.99,MN,1618703480
242,Ilulissat,69.2167,-51.1,8.6,61,90,12.66,GL,1618703656
243,Naze,28.3667,129.4833,62.6,55,75,10.36,JP,1618703657
244,Srednekolymsk,67.45,153.6833,31.48,74,99,18.77,RU,1618703482
245,Ballina,-28.8667,153.5667,66.2,68,96,12.66,AU,1618703657
246,Rio de Janeiro,-22.9028,-43.2075,78.8,83,0,5.75,BR,1618703503
247,Nakusp,50.2499,-117.8023,68.0,26,7,2.3,CA,1618703658
248,São João da Barra,-21.6403,-41.0511,75.24,82,95,13.29,BR,1618703601
249,Banda Aceh,5.5577,95.3222,79.57,79,67,7.52,ID,1618703658
250,Taguatinga,-12.3857,-46.5711,78.3,54,95,2.28,BR,1618703659
251,Longyearbyen,78.2186,15.6401,32.0,69,75,3.44,SJ,1618703659
252,Verkhnyaya Inta,65.9811,60.3094,3.56,88,16,6.2,RU,1618703659
253,Luganville,-15.5333,167.1667,85.03,70,86,9.51,VU,1618703660
254,Kushmurun,52.4503,64.6311,45.52,83,9,3.94,KZ,1618703660
255,Salalah,17.0151,54.0924,78.8,61,0,3.44,OM,1618703442
256,Çorum Province,40.5,34.75,52.12,70,100,3.24,TR,1618703371
257,Takaungu,-3.6837,39.8566,77.52,86,56,12.39,KE,1618703661
258,Asău,46.4333,26.4,42.01,51,93,3.65,RO,1618703661
259,Ancud,-41.8697,-73.8203,46.99,80,100,14.0,CL,1618703394
260,Walvis Bay,-22.9575,14.5053,84.2,26,100,9.22,NA,1618703509
261,Conakry,9.538,-13.6773,80.6,74,20,3.69,GN,1618703662
262,Tautira,-17.7333,-149.15,87.8,66,20,12.66,PF,1618703457
263,Turaif,31.6725,38.6637,69.8,40,0,3.44,SA,1618703662
264,Ribeira Grande,38.5167,-28.7,62.11,91,39,13.18,PT,1618703443
265,Victor Harbor,-35.5667,138.6167,63.0,71,10,6.4,AU,1618703663
266,Makakilo City,21.3469,-158.0858,82.4,65,90,4.61,US,1618703663
267,Shelburne,44.0787,-80.2041,50.0,61,1,8.05,CA,1618703663
268,East London,-33.0153,27.9116,64.04,67,88,12.08,ZA,1618703399
269,Bam,29.106,58.357,73.29,23,89,8.16,IR,1618703664
270,Thanh Hoa,19.8,105.7667,72.45,89,100,2.53,VN,1618703369
271,Acajutla,13.5928,-89.8275,87.8,51,20,2.3,SV,1618703664
272,Havre-St-Pierre,50.2334,-63.5986,33.8,69,1,8.05,CA,1618703665
273,Provideniya,64.3833,-173.3,31.89,90,79,6.02,RU,1618703397
274,Kaeo,-35.1,173.7833,66.99,58,31,1.99,NZ,1618703665
275,Bouna,9.2667,-3.0,77.49,68,98,5.23,CI,1618703665
276,Najrān,17.4924,44.1277,69.8,32,40,4.27,SA,1618703666
277,Kindia,10.0569,-12.8658,75.24,83,96,1.5,GN,1618703666
278,Vila Velha,-20.3297,-40.2925,73.4,94,75,3.44,BR,1618703666
279,Gold Coast,-28.0,153.4333,70.0,60,13,11.5,AU,1618703600
280,Vestmannaeyjar,63.4427,-20.2734,39.99,64,100,19.01,IS,1618703667
281,Izhma,65.0083,53.9113,20.3,89,100,8.43,RU,1618703667
282,Port Macquarie,-31.4333,152.9167,66.99,68,76,5.01,AU,1618703519
283,Praia,14.9215,-23.5087,69.8,78,20,16.11,CV,1618703668
284,Berlevåg,70.8578,29.0864,36.32,84,30,13.09,NO,1618703668
285,Shagonar,51.5333,92.8,34.45,62,8,3.02,RU,1618703668
286,Porbandar,21.6422,69.6093,78.37,83,2,8.75,IN,1618703647
287,Angoram,-4.0625,144.0661,74.5,98,100,0.85,PG,1618703669
288,Mar del Plata,-38.0023,-57.5575,66.99,94,90,5.75,AR,1618703211
289,Kavieng,-2.5744,150.7967,82.92,76,71,10.87,PG,1618703652
290,Isangel,-19.55,169.2667,82.4,78,75,8.05,VU,1618703691
291,Oudtshoorn,-33.5907,22.2014,60.8,59,0,4.61,ZA,1618703691
292,Hutang,31.5333,119.4833,50.0,100,0,2.24,CN,1618703691
293,Gwadar,25.1216,62.3254,79.25,71,25,3.89,PK,1618703692
294,Broome,42.2506,-75.833,43.0,75,90,8.05,US,1618703431
295,Katobu,-4.9408,122.5276,81.7,72,51,2.35,ID,1618703692
296,Muyezerskiy,63.9333,31.65,28.96,97,9,1.95,RU,1618703692
297,Chapais,49.7834,-74.8492,50.0,37,1,5.75,CA,1618703693
298,Lüderitz,-26.6481,15.1594,76.82,38,30,4.41,NA,1618703435
299,Pisco,-13.7,-76.2167,68.0,83,0,24.16,PE,1618703421
300,Arrondissement de Brive-la-Gaillarde,45.25,1.5,39.99,23,7,1.01,FR,1618703693
301,Bandarbeyla,9.4942,50.8122,81.66,71,42,6.17,SO,1618703684
302,Severodvinsk,64.5635,39.8302,30.2,80,0,8.95,RU,1618703644
303,Laguna,38.421,-121.4238,87.8,7,1,9.22,US,1618703470
304,Sept-Îles,50.2001,-66.3821,33.8,75,20,9.22,CA,1618703537
305,Itaituba,-4.2761,-55.9836,73.74,98,93,1.66,BR,1618703571
306,Dingalan,15.3897,121.3929,80.01,74,97,0.38,PH,1618703695
307,Sennar,13.5691,33.5672,86.07,7,40,12.21,SD,1618703695
308,Creston,41.0586,-94.3614,55.4,47,75,17.27,US,1618703695
309,Katsuura,35.1333,140.3,64.99,45,20,27.63,JP,1618703499
310,Curup,-3.4667,102.5333,67.33,96,100,1.32,ID,1618703696
311,Grand Gaube,-20.0064,57.6608,77.0,89,35,3.02,MU,1618703696
312,Koslan,63.4564,48.8989,26.46,74,37,8.14,RU,1618703697
313,Saint-François,46.4154,3.9054,46.4,61,0,5.75,FR,1618703697
314,Kodinsk,58.6881,99.1844,17.01,83,58,3.56,RU,1618703697
315,Dhārchula,29.85,80.5333,53.04,65,4,8.19,IN,1618703698
316,Trujillo,-8.116,-79.03,64.4,94,75,10.36,PE,1618703698
317,Ilhabela,-23.7781,-45.3581,72.18,84,100,1.92,BR,1618703698
318,Saint-Augustin,51.226,-58.6502,33.12,76,4,13.96,CA,1618703516
319,Agirish,61.9247,63.0231,18.14,86,100,12.5,RU,1618703699
320,Mossamedes,-15.1961,12.1522,82.31,65,0,1.74,AO,1618703699
321,Bella Union,-30.2752,-57.6007,70.5,70,63,7.49,UY,1618703700
322,Arman',59.7,150.1667,28.96,92,100,4.16,RU,1618703700
323,Batabanó,22.7164,-82.2881,84.2,65,40,9.22,CU,1618703700
324,Bambous Virieux,-20.3428,57.7575,77.0,94,75,8.05,MU,1618703701
325,Kamenka,51.3223,42.7678,36.0,95,1,3.78,RU,1618703701
326,Camocim,-2.9022,-40.8411,77.54,88,19,11.1,BR,1618703702
327,Kourou,5.1552,-52.6478,81.0,78,75,6.91,GF,1618703702
328,Bafra,41.5678,35.9069,55.0,93,75,2.3,TR,1618703465
329,Patan,27.6667,85.3333,53.6,87,20,2.3,NP,1618703695
330,Talnakh,69.4865,88.3972,-20.58,93,65,1.61,RU,1618703702
331,Anchorage,61.2181,-149.9003,53.6,28,1,6.91,US,1618703431
332,Nome,64.5011,-165.4064,33.01,80,1,11.5,US,1618703518
333,Dolores,-36.3132,-57.6792,62.17,94,79,6.44,AR,1618703704
334,Tanhaçu,-14.0214,-41.2481,74.5,70,85,8.03,BR,1618703704
335,Oktyabr'skoye,43.0645,44.7417,50.0,93,100,4.47,RU,1618703705
336,Zavallya,48.2135,30.0156,40.55,88,98,2.51,UA,1618703705
337,Luanda,-8.8368,13.2343,82.4,69,20,2.3,AO,1618703485
338,Poum,-20.2333,164.0167,80.02,71,62,17.6,NC,1618703430
339,Oyama,36.3,139.8,69.01,82,75,6.91,JP,1618703706
340,Zanesville,39.9404,-82.0132,51.8,76,90,9.22,US,1618703660
341,Voh,-20.9667,164.7,82.42,62,52,4.79,NC,1618703706
342,Pundaguitan,6.3711,126.1689,83.37,73,100,10.87,PH,1618703706
343,Nador,35.174,-2.9287,57.2,88,0,3.44,MA,1618703636
344,Semīrom,31.4167,51.5667,51.94,43,100,3.56,IR,1618703665
345,Boa Vista,2.8197,-60.6733,84.2,61,20,5.75,BR,1618703707
346,São José da Coroa Grande,-8.8978,-35.1478,76.55,87,68,5.86,BR,1618703707
347,Abdulino,53.7,53.6667,42.37,64,0,8.05,RU,1618703708
348,Tarko-Sale,64.9225,77.785,-10.7,99,13,10.02,RU,1618703708
349,Vostok,46.4856,135.8833,44.49,44,18,4.79,RU,1618703708
350,Nchelenge,-9.3451,28.734,66.7,83,63,7.4,ZM,1618703709
351,Ascoli Piceno,42.8548,13.5749,45.0,68,62,4.29,IT,1618703709
352,Auriflama,-20.6856,-50.5547,65.98,93,51,4.05,BR,1618703709
353,Korla,41.7597,86.1469,60.26,26,96,11.03,CN,1618703402
354,Acapulco de Juárez,16.8634,-99.8901,84.2,65,40,11.5,MX,1618703468
355,Barcelos,41.5388,-8.6151,55.0,81,0,2.3,PT,1618703710
356,Palmer,42.1584,-72.3287,44.01,75,100,2.37,US,1618703401
